global,time,income_mountain_50bracket_shape_for_log
world,1830,"25819,48240,85529,150656,267005,475308,834585,1432650,2491299,4535142,8438847,15661813,28403366,49545276,78616843,110491019,139387625,153726730,149105594,127698815,97249274,69605621,47498544,30864861,19214958,11498825,6821544,4007969,2328746,1336750,771937,452047,267020,156807,90935,52443,30272,17361,9819,5485,2962,1563,824,407,192,97,38,14,0,0"
world,1831,"25980,48577,86182,151799,268896,478589,840331,1442360,2507558,4563935,8491232,15749980,28546818,49771478,78979324,111037356,140105756,154472425,149681577,128043436,97457452,69849869,47823520,31254357,19586831,11791893,7048722,4184879,2460365,1422642,821608,479714,281056,163784,93979,53838,30989,17767,10072,5619,3057,1614,859,417,202,98,35,14,0,0"
world,1832,"26204,48942,86720,152642,270268,480870,844410,1449564,2519461,4583757,8525727,15812921,28654593,49933064,79217153,111338133,140381827,154660622,149831220,128259727,97935459,70532604,48676129,32082466,20218103,12168967,7239669,4264892,2483614,1428776,822633,480430,282265,165103,95308,54821,31610,18156,10292,5755,3133,1661,889,435,211,103,37,14,0,0"
world,1833,"26160,48925,86646,152371,269621,479080,840326,1441783,2503336,4554586,8483488,15764004,28664792,50060459,79511872,111795153,140932473,155233698,150355919,128734248,98348982,70892236,49009706,32413011,20512357,12401250,7409827,4400382,2595410,1514685,878367,513871,299963,174044,99358,56544,32467,18651,10618,5950,3258,1731,934,469,226,109,37,16,0,0"
world,1834,"26322,49281,87283,153321,270908,480502,841503,1442901,2504676,4556105,8488513,15772535,28724427,50220698,79822972,112252375,141487673,155829475,150923817,129293589,98897749,71418945,49457142,32738062,20736780,12539131,7489323,4423832,2581062,1486641,856346,499602,292834,170819,98340,56482,32520,18676,10601,5932,3244,1712,920,460,218,105,34,15,0,0"
world,1835,"26526,50974,91179,159901,281748,499149,873247,1492478,2578007,4663244,8632273,15959841,28925058,50419669,79982342,112345190,141556180,155829415,150817303,129179764,99005904,71780935,50075312,33472447,21478543,13137224,7907456,4716851,2792425,1632914,946786,552429,322169,187235,107116,61184,35231,20293,11573,6491,3545,1872,993,501,228,117,37,16,0,0"
world,1836,"27014,53095,95244,167654,296633,527226,922895,1570674,2690334,4817109,8829554,16203194,29186919,50695297,80256995,112654070,141913320,156264791,151319792,129773868,99436198,71991815,50198840,33588671,21631341,13315174,8067484,4835247,2876928,1693407,986260,577239,337375,196382,112555,64323,37041,21311,12141,6793,3696,1942,1017,507,227,115,38,17,0,0"
world,1837,"27074,53674,96180,169087,298373,528177,920952,1563528,2672943,4783152,8774362,16102288,29118480,50744541,80510515,113117338,142450825,156797906,151805588,130294847,100050311,72633338,50825456,34087383,21992202,13548432,8205886,4893423,2885065,1679951,972467,567644,333125,195029,112748,64957,37525,21604,12279,6850,3715,1956,1002,506,227,113,39,16,0,0"
world,1838,"27105,53828,96716,170286,300553,531938,926889,1572310,2685276,4801974,8805489,16153334,29200097,50870731,80704187,113388081,142810415,157248032,152323709,130819586,100539670,73100472,51336977,34569980,22412672,13862718,8404854,5008477,2943779,1707644,985391,573171,335394,195937,113136,65145,37593,21615,12273,6849,3710,1937,997,497,226,114,39,17,0,0"
world,1839,"27284,54080,97000,170801,301744,535034,934610,1588041,2713506,4848471,8875773,16269849,29339547,51023545,80864621,113590134,143084095,157646128,152889292,131448494,101151162,73585893,51737175,34929586,22704760,14065360,8544994,5118270,3038696,1783536,1035641,604220,352006,204372,116842,66636,38337,22039,12535,7015,3803,2001,1022,518,241,118,42,20,0,0"
world,1840,"27230,54015,97125,171036,301874,534128,930835,1579313,2695101,4814659,8833570,16213499,29342358,51159263,81192008,114084986,143629458,158146002,153373942,131960073,101726772,74173321,52294942,35357800,23003012,14260210,8656090,5169594,3047328,1771640,1025462,598359,350567,204679,117992,67901,39213,22586,12861,7206,3925,2083,1063,544,261,131,51,18,0,0"
world,1841,"27628,55464,100863,177820,313408,553389,962842,1631447,2778613,4943127,9009525,16447217,29608674,51429834,81423912,114303865,143945812,158515325,153669743,132187186,102057811,74603945,52756113,35694537,23243085,14453145,8823366,5309768,3162424,1852543,1078234,630347,368731,214731,123344,70926,41037,23700,13522,7591,4133,2182,1132,571,267,138,52,21,0,0"
world,1842,"28210,58183,105857,185573,325181,571345,990695,1675192,2847593,5049402,9161281,16651974,29891708,51823228,81943345,114967883,144747385,159353021,154341383,132600722,102249826,74694387,52674977,35525010,23121685,14452071,8879892,5375575,3228692,1907914,1119271,658803,387472,226564,130616,75358,43716,25299,14456,8109,4406,2309,1189,603,275,140,54,21,0,0"
world,1843,"28837,59890,108878,190428,332638,582779,1008212,1701803,2888187,5113562,9262782,16798851,30091472,52103347,82320760,115444919,145327859,159950131,154803561,132776731,102166613,74631049,52816438,35868221,23582720,14880335,9171028,5527155,3299800,1948931,1146137,677885,401140,236112,137281,79651,46370,26887,15386,8649,4707,2461,1257,636,287,143,59,22,0,0"
world,1844,"28653,59370,108422,190150,332452,583014,1009476,1701889,2878089,5066964,9128267,16498256,29357850,50752460,80593277,113964599,144675802,160574219,156103457,134339087,103539447,75717474,53994979,37066922,24682051,15756382,9759241,5923889,3569335,2129154,1253440,737954,432129,251944,144783,83040,48139,27932,16027,9043,4929,2612,1343,670,313,152,63,23,0,0"
world,1845,"28910,60053,109541,192329,336352,590929,1025451,1730930,2931310,5155500,9265777,16695649,29534327,50879293,80647726,114059166,144940863,160964474,156532385,134757121,103977377,76208759,54541616,37608670,25141891,16076608,9934516,6009818,3605260,2142662,1259101,740214,432847,252229,144854,82947,47970,27747,15866,8916,4837,2544,1294,635,299,143,53,23,0,0"
world,1846,"29161,60146,109365,191938,335816,590452,1025920,1735252,2946269,5183633,9319520,16794520,29668231,51063220,80882467,114407773,145444893,161519243,156946113,135043051,104396341,76766302,55145321,38105620,25490661,16289757,10044102,6058851,3627686,2152939,1263720,741976,432971,251708,144222,82475,47676,27581,15775,8872,4819,2540,1291,631,303,142,54,23,0,0"
world,1847,"28551,58180,106947,187860,327656,575161,1000744,1699731,2902553,5132491,9267469,16757817,29647299,51083162,80990878,114616819,145739099,161874366,157377705,135554244,104985624,77372776,55805797,38733487,25998535,16681908,10338040,6254161,3738862,2218637,1301925,765685,447786,260514,149424,85398,49407,28647,16440,9279,5061,2678,1375,665,318,149,60,25,0,0"
world,1848,"28701,59032,107550,187933,326138,569398,987623,1678839,2873621,5098306,9229578,16729383,29701475,51272179,81365550,115188184,146427629,162531158,157826623,135803404,105249428,77667491,56187231,39163322,26450497,17075876,10577546,6390299,3825046,2275406,1336282,784155,457488,265169,151785,86129,49550,28625,16372,9207,5027,2653,1365,664,320,151,62,27,0,0"
world,1849,"28540,58714,107574,188553,327926,574171,997639,1697826,2913304,5159624,9319787,16837444,29715931,51103095,80990605,114455394,145636883,162052898,158016887,136815977,106646251,78975771,57234961,39974306,26998085,17436974,10820251,6552607,3919138,2324632,1361758,798076,464934,269869,154509,88103,50859,29485,16915,9551,5229,2775,1431,706,341,158,64,28,0,0"
world,1850,"28320,58499,107590,188671,328832,577270,1005162,1712899,2942233,5201655,9381925,16905803,29734981,51028390,80778111,114170470,145472133,162125780,158375149,137390904,107345212,79715708,57985454,40607561,27434042,17681660,10960258,6622863,3955990,2344115,1372448,804615,468889,272201,155792,88826,51284,29749,17069,9652,5290,2811,1447,713,347,161,66,28,0,0"
world,1851,"27397,56999,105088,184212,320989,564032,985113,1683234,2892282,5122510,9249705,16718384,29515856,50810510,80625384,114090215,145612765,162470748,158792248,137870295,107787667,79933923,58085038,40860927,27833889,18125677,11284758,6836724,4103976,2452677,1445202,848051,494992,286886,164658,93605,54005,31361,18062,10231,5636,2990,1563,774,386,188,70,29,0,0"
